country,season,band,predictor,cv_corr_dt,p_perm_dt,q_bh_dt
Ethiopia,ASO,National,iod_dmi,0.158,0.0514,0.3239
Ethiopia,ASO,National,wvg2,-0.259,0.4331,0.7384
Ethiopia,ASO,National,wvg3,-0.269,0.4463,0.7397
Ethiopia,SON,National,nino34,0.304,0.009,0.117
Ethiopia,SON,National,atl3,0.163,0.0466,0.3028
Ethiopia,SON,National,tna,-0.495,0.6593,0.8679
Ethiopia,SON,National,tsa,0.182,0.0334,0.2395
Ethiopia,SON,National,atl_grad,0.04,0.1166,0.4755
Ethiopia,SON,National,iod_dmi,0.392,0.0014,0.0291
Ethiopia,SON,National,wvg2,0.379,0.0022,0.0381
Ethiopia,SON,National,wvg3,0.357,0.003,0.0446
Ethiopia,MAM,South,nino34,-0.182,0.3507,0.6693
Ethiopia,MAM,South,atl3,-0.771,0.9188,0.9659
Ethiopia,MAM,South,tna,-0.659,0.7614,0.9188
Ethiopia,MAM,South,tsa,-0.856,0.9892,0.991
Ethiopia,MAM,South,atl_grad,-0.66,0.7716,0.9188
Ethiopia,MAM,South,iod_dmi,-0.031,0.204,0.5558
Ethiopia,MAM,South,wvg2,-0.055,0.2198,0.5643
Ethiopia,MAM,South,wvg3,-0.051,0.2232,0.5661
Ethiopia,AMJ,South,nino34,0.038,0.1428,0.521
Ethiopia,AMJ,South,atl3,-0.389,0.5553,0.7962
Ethiopia,AMJ,South,tna,-0.712,0.8104,0.9257
Ethiopia,AMJ,South,tsa,-0.662,0.791,0.9257
Ethiopia,AMJ,South,atl_grad,-0.747,0.8466,0.9519
Ethiopia,AMJ,South,iod_dmi,-0.376,0.5453,0.7962
Ethiopia,AMJ,South,wvg2,0.141,0.071,0.3803
Ethiopia,AMJ,South,wvg3,0.153,0.0608,0.3613
Ethiopia,JJA,South,nino34,-0.878,0.9904,0.991
Ethiopia,JJA,South,atl3,-0.461,0.6067,0.8299
Ethiopia,JJA,South,tna,-0.716,0.885,0.9659
Ethiopia,JJA,South,tsa,-0.191,0.3697,0.6806
Ethiopia,JJA,South,atl_grad,-0.295,0.4611,0.7397
Ethiopia,JJA,South,iod_dmi,-0.106,0.2751,0.6116
Ethiopia,JJA,South,wvg2,-0.857,0.9728,0.991
Ethiopia,JJA,South,wvg3,-0.876,0.9906,0.991
Ethiopia,JAS,South,nino34,0.016,0.1664,0.5424
Ethiopia,JAS,South,atl3,-0.632,0.7606,0.9188
Ethiopia,JAS,South,tna,-0.315,0.4777,0.7496
Ethiopia,JAS,South,tsa,-0.746,0.9194,0.9659
Ethiopia,JAS,South,atl_grad,-0.394,0.5465,0.7962
Ethiopia,JAS,South,iod_dmi,-0.152,0.3161,0.6323
Ethiopia,JAS,South,wvg2,0.041,0.1422,0.521
Ethiopia,JAS,South,wvg3,0.034,0.1366,0.521
Ethiopia,JJAS,South,nino34,-0.547,0.6859,0.8806
Ethiopia,JJAS,South,atl3,-0.65,0.773,0.9188
Ethiopia,JJAS,South,tna,-0.663,0.8104,0.9257
Ethiopia,JJAS,South,tsa,-0.429,0.5989,0.8299
Ethiopia,JJAS,South,atl_grad,-0.791,0.911,0.9659
Ethiopia,JJAS,South,iod_dmi,-0.206,0.3661,0.6806
Ethiopia,JJAS,South,wvg2,-0.463,0.6147,0.8302
Ethiopia,JJAS,South,wvg3,-0.52,0.6521,0.8639
Ethiopia,ASO,South,nino34,0.22,0.0284,0.2109
Ethiopia,ASO,South,atl3,0.127,0.0732,0.3803
Ethiopia,ASO,South,tna,-0.623,0.7726,0.9188
Ethiopia,ASO,South,tsa,0.096,0.089,0.4024
Ethiopia,ASO,South,atl_grad,-0.12,0.2899,0.6116
Ethiopia,ASO,South,iod_dmi,0.338,0.0064,0.0887
Ethiopia,ASO,South,wvg2,0.235,0.0246,0.1968
Ethiopia,ASO,South,wvg3,0.246,0.022,0.1968
Ethiopia,SON,South,nino34,0.485,0.0002,0.0104
Ethiopia,SON,South,atl3,0.276,0.015,0.1456
Ethiopia,SON,South,tna,-0.31,0.4837,0.7496
Ethiopia,SON,South,tsa,0.268,0.0144,0.1456
Ethiopia,SON,South,atl_grad,0.175,0.046,0.3028
Ethiopia,SON,South,iod_dmi,0.446,0.0006,0.0156
Ethiopia,SON,South,wvg2,0.527,0.0002,0.0104
Ethiopia,SON,South,wvg3,0.51,0.0004,0.0119
Ethiopia,OND,South,nino34,0.559,0.0004,0.0119
Ethiopia,OND,South,atl3,0.218,0.0246,0.1968
Ethiopia,OND,South,tna,-0.537,0.7037,0.887
Ethiopia,OND,South,tsa,0.18,0.0422,0.2925
Ethiopia,OND,South,atl_grad,0.026,0.1302,0.5207
Ethiopia,OND,South,iod_dmi,0.549,0.0002,0.0104
Ethiopia,OND,South,wvg2,0.591,0.0002,0.0104
Ethiopia,OND,South,wvg3,0.579,0.0004,0.0119
Ethiopia,MAM,Central,nino34,-0.043,0.2182,0.5643
Ethiopia,MAM,Central,atl3,-0.756,0.8938,0.9659
Ethiopia,MAM,Central,tna,-0.787,0.869,0.9632
Ethiopia,MAM,Central,tsa,-0.19,0.3423,0.6693
Ethiopia,MAM,Central,atl_grad,-0.43,0.5743,0.8126
Ethiopia,MAM,Central,iod_dmi,0.001,0.172,0.5424
Ethiopia,MAM,Central,wvg2,0.044,0.1506,0.5303
Ethiopia,MAM,Central,wvg3,0.046,0.1426,0.521
Ethiopia,AMJ,Central,nino34,-0.015,0.189,0.5424
Ethiopia,AMJ,Central,atl3,-0.382,0.5477,0.7962
Ethiopia,AMJ,Central,tna,-0.571,0.6837,0.8806
Ethiopia,AMJ,Central,tsa,-0.639,0.7662,0.9188
Ethiopia,AMJ,Central,atl_grad,-0.707,0.8126,0.9257
Ethiopia,AMJ,Central,iod_dmi,-0.313,0.4825,0.7496
Ethiopia,AMJ,Central,wvg2,0.126,0.0752,0.3803
Ethiopia,AMJ,Central,wvg3,0.13,0.0768,0.3803
Ethiopia,JJA,Central,nino34,-0.439,0.5845,0.8214
Ethiopia,JJA,Central,atl3,-0.334,0.5027,0.7632
Ethiopia,JJA,Central,tna,-0.224,0.3953,0.6968
Ethiopia,JJA,Central,tsa,-0.157,0.3327,0.6591
Ethiopia,JJA,Central,atl_grad,-0.806,0.9334,0.9707
Ethiopia,JJA,Central,iod_dmi,-0.559,0.6835,0.8806
Ethiopia,JJA,Central,wvg2,-0.316,0.4779,0.7496
Ethiopia,JJA,Central,wvg3,-0.347,0.4913,0.7514
Ethiopia,JAS,Central,nino34,-0.087,0.2474,0.5913
Ethiopia,JAS,Central,atl3,-0.441,0.5919,0.8263
Ethiopia,JAS,Central,tna,0.001,0.1804,0.5424
Ethiopia,JAS,Central,tsa,-0.223,0.4049,0.7078
Ethiopia,JAS,Central,atl_grad,-0.362,0.5229,0.7825
Ethiopia,JAS,Central,iod_dmi,-0.149,0.3051,0.6162
Ethiopia,JAS,Central,wvg2,-0.026,0.1904,0.5424
Ethiopia,JAS,Central,wvg3,-0.035,0.199,0.5558
Ethiopia,JJAS,Central,nino34,-0.679,0.769,0.9188
Ethiopia,JJAS,Central,atl3,-0.401,0.5565,0.7962
