target,predictor_source,method,lead,transform,predictor_domain,eof_modes,downscale,generalized_roc,rpss,pearson_r,hit_rate
Kenya:MAM,gcm_mos_sst,cca,2,std_anom,pacific,4,none,0.4833,-0.0879,-0.0627,0.3197
Kenya:MAM,obs_sst_field,cca,2,std_anom,pacific,8,none,0.4561,-0.1438,-0.144,0.2694
Kenya:MAM,gcm_mos_sst,cca,2,std_anom,pacific,8,none,0.474,-0.1152,-0.1089,0.3127
Kenya:MAM,gcm_mos_precip,cca,2,std_anom,region,4,none,0.5546,0.0004,0.1435,0.368
Kenya:MAM,gcm_mos_precip,cca,2,std_anom,region,8,none,0.5547,0.0001,0.1435,0.3694
Kenya:MAM,gcm_mos_precip,qm,2,std_anom,region,0,none,0.6091,0.0434,0.2799,0.3519
Kenya:MAM,obs_index,regression,2,std_anom,nino34,0,none,0.4429,-0.082,-0.1981,0.2752
Kenya:MAM,gcm_index,regression,2,std_anom,nino34,0,none,0.5034,-0.0344,0.0343,0.3194
Kenya:MAM,obs_index,regression,2,std_anom,iod,0,none,0.3935,-0.1071,-0.4498,0.2189
Kenya:MAM,gcm_index,regression,2,std_anom,iod,0,none,0.3959,-0.0948,-0.3778,0.2299
Kenya:MAM,obs_index,regression,2,std_anom,wpg,0,none,0.412,-0.0998,-0.3352,0.2532
Kenya:MAM,gcm_index,regression,2,std_anom,wpg,0,none,0.4969,-0.053,-0.0314,0.3293
Kenya:MAM,obs_index,regression,2,std_anom,wvg,0,none,0.4018,-0.1004,-0.3778,0.2375
Kenya:MAM,gcm_index,regression,2,std_anom,wvg,0,none,0.4997,-0.0483,-0.0134,0.3273
Kenya:MAM,obs_index,regression,2,std_anom,iwhg,0,none,0.4068,-0.1019,-0.3737,0.2364
Kenya:MAM,gcm_index,regression,2,std_anom,iwhg,0,none,0.4723,-0.0676,-0.1095,0.2972
Kenya:MAM,persistence,regression,2,std_anom,region,0,none,0.4026,-0.1126,-0.3748,0.225
Kenya:MAM,obs_sst_field,cca,2,raw,indo_pacific,4,none,0.4889,-0.0701,-0.0777,0.3111
Kenya:MAM,gcm_mos_sst,cca,2,raw,indo_pacific,4,none,0.5062,-0.0599,-0.0444,0.3361
Kenya:MAM,obs_sst_field,cca,2,raw,indo_pacific,8,none,0.4666,-0.111,-0.1038,0.2812
Kenya:MAM,gcm_mos_sst,cca,2,raw,indo_pacific,8,none,0.4789,-0.105,-0.1191,0.3112
Kenya:MAM,obs_sst_field,cca,2,raw,indian,4,none,0.4855,-0.1096,-0.0405,0.3192
Kenya:MAM,gcm_mos_sst,cca,2,raw,indian,4,none,0.4457,-0.118,-0.1359,0.2721
